Evidence Reference,Question,Tips,Compliant,Evidence/Answer
9.3.7,"The organisation has registered and uses the National Cyber Security Centre (NCSC) Web Check service, or equivalent web check service, for its publicly-visible applications.",,,
9.3.8,The organisation maintains a register of medical devices connected to its network.,"The register should be uploaded and include Vendor, maintenance arrangements, any network segmentation is in place and whether network access is given to supplier/maintainer.",,
9.3.9,What is the organisation's data security assurance process for medical devices connected to the network.,"This should be a policy / process document or full explanation covering how the organisation assures data security during the full life cycle of the medical device.

[Further guidance is available](https://digital.nhs.uk/cyber-and-data-security/guidance-and-assurance/guidance-for-procuring-and-deploying-connected-medical-devices)",,
9.4.1,"You validate that the security measures in place to protect the networks and information systems are effective, and remain effective for the lifetime over which they are needed.","Please provide an explanation of the assurance activities in place to protect the networks and information systems and how you regularly review fitness for purpose and effectiveness over the lifetime of the technology/contract. The validation should be completed annually, linked to policy and produce a plan of work for the coming year. ",,
9.4.4,"Security deficiencies uncovered by assurance activities are assessed, prioritised and remedied when necessary in a timely and effective way.","The organisation holds details of actions resulting from security tests, with records of how these were managed through to remediation in line with the organisation's security assurance policy/procedure. policy. Where there is a valid business reason that the action could not be implemented, this should be risk accepted by an appropriate individual in the organisation.",,
9.4.5,Your organisation has completed an independent audit of your Data Security and Protection Toolkit and has reported the results to the Board.,The audit should cover the mandatory audit-scope set out in the [ÔStrengthening Assurance Independent Assessment Guide'](https://www.dsptoolkit.nhs.uk/Help/Independent-Assessment-Guides),,
9.5.1,All devices in your organisation have technical controls that manage the installation of software on the device.,"Use the comments field to describe what technical controls are implemented that govern what software can be used to help prevent insecure or malicious software being installed on business devices or deployed in the network or IT systems i.e. by deploying application allow listing technology and/or restricting local administrative access rights. 

Please give details of any exceptions.

[Advice and guidance is available](https://www.ncsc.gov.uk/collection/device-security-guidance)

",,
9.5.2,Confirm all data are encrypted at rest on all mobile devices and removable media and you have the ability to remotely wipe and/or revoke access from an end user device., ,,
9.5.3,"You closely and effectively manage changes in your environment, ensuring that network and system configurations are secure and documented.",Provide details of your organisation's change management process that prevents changes to its IT environment from being implemented without being approved by the appropriate individuals and security implications being considered.,,
9.5.5,End user devices are built from a consistent and approved base image.,"The standard builds are documented and reviewed on a regular basis. This applies to the organisation's desktop computers, laptop computers and tablets.",,
9.5.6,End user device security settings are managed and deployed centrally.,"Applies to the organisation's desktop computers, laptop computers and tablets. This could be achieved using Group policy, mobile device management or similar mechanisms.",,
9.5.7,AutoRun is disabled.,"This applies to servers, desktop and laptop computers. AutoRun relates to automatic execution of files without user interaction, and should not be confused with AutoPlay (which requires user interaction).",,
9.5.8,All remote access is authenticated.,"Strong (ideally multifactor) authentication is required to remotely access. This includes both web applications, remote access to corporate networks and supplier access.",,
9.5.9,"You have a plan for protecting devices that are natively unable to connect to the Internet, and the risk has been assessed, documented, accepted, reviewed regularly and signed off by the SIRO.","This applies to any device (managed internally or by a third party) that does not have a route to/from the Internet, such as air-gapped networks or stand-alone devices. Such as an MRI Scanner. 

The organisation has documented an approach for managing the security risks associated with connected devices and has visibility of the device types along with images/builds/versions/operating systems in use.",,
9.5.10,Your organisation meets the secure email standard.,"Emails sent to and from health and social care organisations must meet the secure email standard (DCB1596) so that everyone can be sure that sensitive and confidential information is kept secure.  
[Further details on the standard](https://digital.nhs.uk/services/nhsmail/the-secure-email-standard) is available on the NHS Digital website.",,
9.6.1,One or more firewalls (or similar network device) have been installed on all the boundaries of the organisation's internal network(s).,This may include NHS Digital's Secure Boundary cloud-based firewall.  IT Healthcheck would provide suitable evidence.,,
9.6.2,"The administrative interface used to manage the boundary firewall has been configured such that; it is not accessible from the Internet, it requires second factor authentication or is access limited to a specific address.","The organisation's perimeter firewall management console / administrative functionality is not accessible via the internet, preventing threat actors from manipulating the organisation's firewall rulesets or configuration for malicious purposes. If there is a business reason for this administrative console to be connected to the internet, the connection should be secured with multi-factor authentication (MFA) with logging/monitoring and roll-back capability.",,
9.6.3,The organisation has checked and verified that firewall rules ensure that all unauthenticated inbound connections are blocked by default.,"All protocols (such as HTTP/S, SMB, NetBIOS, Telnet, TFTP, RPC, rlogin, rsh, rexec etc.) are blocked by default.",,
9.6.4,All inbound firewall rules (other than default deny) are documented with business justification and approval by the change management process.,Confirm documentation of approval is available. This must be accurate and up to date.,,
9.6.5,Firewall rulesets are reviewed on a regular basis. Rulesets are removed/disabled when they are no longer required. ,Please use the comments field to explain the process of removal and be ready to demonstrate to an onsite assessment.,,
9.6.6,All of your organisation's desktop and laptop computers have personal firewalls (or equivalent) enabled and configured to block unapproved connections by default.,Please use the comments field to provide details of how you have implemented this and describe the confirmation process.,,
10.1.1,"The organisation has an up to date list of its suppliers, which enables it to identify suppliers that could potentially pose a data security or data protection risk to the organisation. The list includes which suppliers process personal data or provide IT services on which critical services rely, details on the product and services they deliver, contact details and contract duration.","Provide a list containing suppliers that handle personal information, systems/services and contract start and end dates. The list must have been reviewed since 1 July 2022",,
10.1.2,Contracts with all third parties that handle personal information are compliant with ICO guidance.,"A review of all contracts has been undertaken to ensure that they comply with the requirements set out in Article 28 of the GDPR.

If you have no such suppliers, then 'tick' and write ÒNot applicableÓ in the comments box.",,
10.2.1,"Your organisation ensures that any supplier of IT systems that could impact on the delivery of care, or process personal identifiable data, has the appropriate certification.","This enables the organisation to confirm that the supplier has the appropriate information security accreditations/certifications, prior to signing the contract. The NHS Improvement 2017/18 Data Security Protection Requirements: guidance states that these could include; ISO 27001:2013, Cyber Essentials, Cyber Essentials Plus, or meets the Digital Marketplace requirements. 

For more information see the [2017/18 Data Security Protection Requirements guidance](https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/675420/17-18_statement_of_requirements_Branded_template_final_22_11_18-1.pdf).",,
10.2.3,Percentage of suppliers with data security contract clauses in place.,"The percentage snapshot of current suppliers handling personal data that currently have security clauses.

The organisation may need to update its supplier model contract to include data security and protection clauses/requirements.",,
10.2.4,"Where services are outsourced (for example by use of cloud infrastructure or services), the organisation understands and accurately records which security related responsibilities remain with the organisation and which are the supplier's responsibility.",The organisation formally documents the roles and responsibilities of both parties to achieve clarity as regards accountability for data security and data protection risks.,,
10.2.5,"All suppliers that process or have access to health or care personal confidential information have completed a Data Security and Protection Toolkit, or equivalent.",Provide confirmation that all suppliers have successfully completed a Data Security and Protection Toolkit or the organisation has assured itself separately that they reach a similar or higher data security standard.,,
10.3.1,List of data security incidents Ð past or present Ð with current suppliers who handle personal information.,All current ongoing incidents are listed and all historical incidents (up to 2 calendar rolling years). Redact any sensitive information.,,
